,Rk,Gtm,Date,Unnamed: 3,Opp,Type,Rslt,Tm,Opp.1,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,eFG%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
39556,24,24,2025-02-06,@,UT Martin,REG (Conf),W,52,51,,16,59,.271,7,30,.233,9,29,.310,.331,13,19,.684,9,25,34,8,7,5,10,13,16,56,.286,3,18,.167,13,38,.342,.313,16,23,.696,11,30,41,5,6,6,12,15,2025,lindenwood
39557,25,25,2025-02-08,@,Tennessee State,REG (Conf),L,76,84,,24,61,.393,12,31,.387,12,30,.400,.492,16,24,.667,9,20,29,11,3,1,11,24,29,58,.500,3,19,.158,26,39,.667,.526,23,35,.657,14,26,40,11,7,7,10,22,2025,lindenwood
39558,26,26,2025-02-13,,Morehead State,REG (Conf),W,73,60,,24,45,.533,6,13,.462,18,32,.563,.600,19,29,.655,6,25,31,10,7,7,14,17,20,58,.345,7,21,.333,13,37,.351,.405,13,17,.765,8,22,30,12,7,2,12,22,2025,lindenwood
39559,27,27,2025-02-15,,Southern Indiana,REG (Conf),W,81,78,OT,31,64,.484,4,18,.222,27,46,.587,.516,15,22,.682,10,26,36,13,5,3,16,15,30,71,.423,7,26,.269,23,45,.511,.472,11,16,.688,9,25,34,10,8,3,12,18,2025,lindenwood
39560,28,28,2025-02-20,@,Little Rock,REG (Conf),W,93,92,OT,34,68,.500,9,24,.375,25,44,.568,.566,16,26,.615,14,24,38,8,9,2,14,24,35,65,.538,3,14,.214,32,51,.627,.562,19,29,.655,9,19,28,14,8,6,16,21,2025,lindenwood
39561,29,29,2025-02-22,@,Southeast Missouri State,REG (Conf),L,58,74,,21,63,.333,3,16,.188,18,47,.383,.357,13,21,.619,9,26,35,4,8,1,10,15,27,55,.491,5,18,.278,22,37,.595,.536,15,20,.750,1,34,35,11,7,7,11,16,2025,lindenwood
39562,30,30,2025-02-25,@,Western Illinois,REG (Conf),L,81,86,OT,29,72,.403,7,31,.226,22,41,.537,.451,16,21,.762,13,23,36,15,7,4,11,22,30,60,.500,8,20,.400,22,40,.550,.567,18,27,.667,8,25,33,9,8,3,12,19,2025,lindenwood
39563,31,31,2025-03-01,@,Tennessee Tech,REG (Conf),W,76,74,,27,65,.415,5,18,.278,22,47,.468,.454,17,23,.739,9,26,35,12,11,3,8,16,27,56,.482,5,23,.217,22,33,.667,.527,15,21,.714,7,31,38,16,7,4,15,20,2025,lindenwood
39564,Rk,Gtm,Date,,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,2025,lindenwood
39565,32,32,2025-03-05,N,Morehead State,CTOURN,W,73,65,,22,62,.355,1,15,.067,21,47,.447,.363,28,28,1.000,10,32,42,6,9,7,6,14,23,65,.354,10,22,.455,13,43,.302,.431,9,14,.643,12,25,37,12,3,3,11,19,2025,lindenwood
39566,33,33,2025-03-06,N,Tennessee State,CTOURN,L,55,69,,22,60,.367,5,19,.263,17,41,.415,.408,6,13,.462,10,20,30,10,7,7,15,14,26,57,.456,8,18,.444,18,39,.462,.526,9,16,.563,10,27,37,15,6,6,15,14,2025,lindenwood
39567,,,,,,,16-17,2348,2354,,837,1983,.422,192,678,.283,645,1305,.494,.470,482,709,.680,331,772,1103,370,277,133,406,534,831,1948,.427,243,733,.332,588,1215,.484,.489,449,640,.702,292,811,1103,420,243,138,455,599,2025,lindenwood
