,School,G,W_Tot,L_Tot,W-L%,Simple_Rating_System,Stregnth_Of_Schedule,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Tm_Pts,Opp_Pts,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Season
327,UNC Wilmington NCAA,35,27,8,.771,2.36,-3.95,14,4,15,3,9,4,2771,2459,1415,971,2067,.470,255,758,.336,574,765,.750,436,1358,538,224,120,385,585,2025
328,UT Arlington,31,13,18,.419,-5.55,-2.83,6,10,9,4,3,11,2302,2320,1255,799,1793,.446,269,759,.354,435,658,.661,361,1132,436,184,99,418,558,2025
329,Utah,33,16,17,.485,11.44,8.50,8,12,15,4,1,9,2493,2396,1325,875,1961,.446,281,860,.327,462,721,.641,417,1312,574,211,120,409,611,2025
330,Utah State NCAA,34,26,8,.765,13.56,5.35,15,5,15,2,7,4,2716,2381,1360,953,1970,.484,300,842,.356,510,726,.702,395,1177,583,291,94,364,617,2025
331,Utah Tech,33,7,26,.212,-10.29,-1.65,2,14,5,8,0,16,2305,2508,1325,810,1908,.425,246,738,.333,439,632,.695,332,1090,418,213,106,417,634,2025
332,Utah Valley,34,25,9,.735,1.91,-3.31,15,1,12,0,10,7,2584,2322,1370,912,1948,.468,205,612,.335,555,806,.689,369,1299,531,226,191,415,560,2025
333,UTEP,33,18,15,.545,-0.63,0.34,7,11,11,5,4,8,2392,2335,1325,825,1879,.439,241,686,.351,501,701,.715,295,1029,434,337,99,391,596,2025
334,UTSA,31,12,19,.387,-2.55,0.52,6,12,7,7,4,11,2378,2382,1250,816,1929,.423,308,853,.361,438,553,.792,332,1003,393,294,107,339,564,2025
335,Valparaiso,34,15,19,.441,-2.90,-0.12,6,14,10,7,3,10,2539,2513,1375,873,2044,.427,263,783,.336,530,671,.790,340,1172,409,199,127,331,557,2025
336,Vanderbilt NCAA,33,20,13,.606,14.66,10.05,8,10,14,3,3,7,2604,2452,1325,915,2034,.450,267,822,.325,507,680,.746,379,1145,459,295,129,336,592,2025
337,Vermont,33,21,12,.636,-8.06,-7.61,13,3,13,3,7,8,2199,2106,1320,776,1789,.434,256,775,.330,391,543,.720,291,1125,398,184,147,371,452,2025
338,Villanova,36,21,15,.583,13.28,7.45,11,9,14,3,3,8,2664,2454,1445,926,2015,.460,344,881,.390,468,588,.796,344,1231,448,203,84,352,565,2025
339,Virginia,32,15,17,.469,5.71,7.71,8,12,10,7,4,7,2073,2137,1280,739,1656,.446,266,709,.375,329,437,.753,216,937,470,176,120,323,489,2025
340,Virginia Commonwealth NCAA,35,28,7,.800,14.45,1.30,15,3,15,1,7,3,2693,2201,1405,929,2088,.445,337,1002,.336,498,670,.743,463,1337,524,282,190,394,632,2025
341,VMI,34,15,19,.441,-11.25,-4.88,7,11,7,7,5,10,2492,2487,1365,833,1954,.426,303,932,.325,523,687,.761,339,1180,427,269,89,408,549,2025
342,Virginia Tech,32,13,19,.406,2.62,6.62,8,12,8,9,5,5,2213,2341,1295,785,1778,.442,252,719,.350,391,548,.714,325,1066,404,174,62,430,544,2025
343,Wagner,30,14,16,.467,-15.75,-10.29,6,10,8,6,6,10,1874,1818,1215,663,1635,.406,207,620,.334,341,483,.706,340,1046,378,212,47,353,512,2025
344,Wake Forest,32,21,11,.656,9.63,7.47,13,7,13,3,6,6,2246,2177,1280,790,1782,.443,179,628,.285,487,644,.756,284,1061,362,230,126,362,527,2025
345,Washington,31,13,18,.419,6.26,10.76,4,16,9,9,2,9,2219,2339,1250,788,1771,.445,218,633,.344,425,623,.682,296,1011,399,200,120,373,569,2025
346,Washington State,34,19,15,.559,4.67,4.32,8,10,10,4,4,7,2683,2671,1365,968,1971,.491,295,814,.362,452,645,.701,337,1163,574,218,165,495,645,2025
347,Weber State,34,12,22,.353,-9.64,-3.16,5,13,5,10,4,11,2443,2443,1370,866,1903,.455,252,727,.347,459,653,.703,289,1140,389,221,82,373,606,2025
348,West Georgia,31,6,25,.194,-15.57,-4.50,4,14,4,8,2,15,2140,2426,1241,803,1848,.435,168,557,.302,366,528,.693,295,1016,418,216,92,351,493,2025
349,West Virginia,32,19,13,.594,14.89,11.54,10,10,13,4,4,7,2181,2074,1300,782,1842,.425,277,849,.326,340,472,.720,288,1064,442,242,131,344,532,2025
350,Western Carolina,30,8,22,.267,-15.83,-2.35,4,14,7,7,1,14,2090,2371,1215,720,1828,.394,272,892,.305,378,507,.746,310,1152,362,158,93,420,509,2025
351,Western Illinois,31,12,19,.387,-15.22,-8.50,6,14,8,7,4,11,2130,2211,1250,774,1759,.440,248,661,.375,334,483,.692,317,1079,317,168,116,373,443,2025
352,Western Kentucky,32,17,15,.531,-0.50,1.00,8,10,13,5,4,9,2395,2392,1285,843,1997,.422,262,797,.329,447,617,.724,297,1188,382,259,85,352,585,2025
353,Western Michigan,32,12,20,.375,-9.55,-4.17,9,9,6,9,6,10,2306,2433,1280,850,1993,.426,190,662,.287,414,616,.672,423,1208,398,222,75,352,574,2025
354,Wichita State,34,19,15,.559,2.29,1.81,8,10,11,6,5,7,2516,2485,1370,909,2041,.445,176,577,.305,522,717,.728,397,1311,402,229,151,394,519,2025
355,William & Mary,32,17,15,.531,-6.26,-4.26,11,7,12,2,4,11,2487,2445,1280,842,1858,.453,336,960,.350,467,646,.723,298,1102,529,232,58,407,570,2025
356,Winthrop,34,23,11,.676,-1.68,-4.17,11,5,16,2,5,8,2879,2651,1375,978,2064,.474,275,804,.342,648,970,.668,421,1312,439,270,114,446,672,2025
357,Wisconsin NCAA,37,27,10,.730,20.73,11.49,13,7,14,3,6,5,2964,2622,1485,991,2184,.454,366,1052,.348,616,746,.826,347,1350,537,190,87,356,611,2025
358,Wofford NCAA,35,19,16,.543,-0.13,-2.34,10,8,7,6,8,8,2623,2451,1410,935,2068,.452,340,992,.343,413,626,.660,453,1337,524,209,88,383,592,2025
359,Wright State,33,15,18,.455,-4.89,-3.79,8,12,11,4,3,12,2551,2520,1335,952,1928,.494,279,726,.384,368,521,.706,307,1139,502,188,103,401,556,2025
360,Wyoming,32,12,20,.375,-0.67,4.21,5,15,8,7,3,10,2149,2277,1285,779,1778,.438,243,710,.342,348,534,.652,337,1114,373,141,89,412,617,2025
361,Xavier NCAA,34,22,12,.647,15.25,8.72,13,7,15,2,5,7,2656,2434,1370,905,1938,.467,285,728,.391,561,711,.789,264,1131,568,263,86,371,533,2025
362,Yale NCAA,30,22,8,.733,6.66,-3.10,13,1,11,0,7,6,2439,2102,1200,896,1830,.490,229,591,.387,418,573,.729,329,1151,492,173,108,302,489,2025
363,Youngstown State,34,21,13,.618,-3.85,-4.98,13,7,10,5,9,6,2599,2446,1370,884,2028,.436,299,934,.320,532,726,.733,378,1242,469,236,179,416,624,2025
