,School,G,W_Tot,L_Tot,W-L%,Simple_Rating_System,Stregnth_Of_Schedule,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Tm_Pts,Opp_Pts,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Season
241,Princeton,30,19,11,.633,-2.85,-2.49,8,6,9,4,7,4,2209,2162,1200,791,1824,.434,316,889,.355,311,438,.710,291,1014,455,221,65,313,466,2025
242,Providence,32,12,20,.375,7.17,8.33,6,14,10,6,2,9,2283,2320,1285,807,1833,.440,297,834,.356,372,542,.686,362,1186,413,159,109,407,550,2025
243,Purdue NCAA,36,24,12,.667,20.80,13.91,13,7,14,2,5,6,2781,2533,1440,985,2027,.486,297,778,.382,514,702,.732,352,1183,574,230,59,375,570,2025
244,Purdue Fort Wayne,32,19,13,.594,-1.00,-4.06,12,8,12,2,6,10,2583,2388,1295,918,1955,.470,330,890,.371,417,556,.750,243,969,434,278,89,306,503,2025
245,Queens (NC),35,20,15,.571,-5.41,-4.95,11,7,9,5,9,9,2685,2611,1415,934,2074,.450,322,920,.350,495,722,.686,399,1289,559,228,184,442,578,2025
246,Quinnipiac,33,20,13,.606,-5.94,-7.72,15,5,12,2,7,10,2439,2358,1325,864,2026,.426,227,767,.296,484,634,.763,390,1263,455,272,154,425,539,2025
247,Radford,33,20,13,.606,-2.72,-3.43,9,7,10,3,7,9,2441,2314,1330,824,1813,.454,242,664,.364,551,722,.763,375,1167,374,183,103,374,564,2025
248,Rhode Island,31,18,13,.581,1.06,-0.91,7,11,14,3,1,9,2419,2328,1255,828,1782,.465,236,673,.351,527,759,.694,311,1160,430,184,104,401,508,2025
249,Rice,32,13,19,.406,-2.08,-2.12,4,14,7,8,4,8,2249,2249,1290,748,1778,.421,227,688,.330,526,772,.681,394,1223,379,149,99,377,571,2025
250,Richmond,32,10,22,.313,-5.48,1.45,5,13,6,9,2,11,2137,2302,1310,729,1745,.418,250,797,.314,429,542,.792,208,996,373,191,66,327,560,2025
251,Rider,33,14,19,.424,-12.06,-7.24,9,11,5,7,8,11,2211,2370,1320,814,1894,.430,178,571,.312,405,561,.722,369,1131,416,177,102,370,476,2025
252,Robert Morris NCAA,35,26,9,.743,0.40,-4.92,15,5,16,2,8,6,2694,2485,1425,934,2078,.449,264,761,.347,562,780,.721,439,1310,562,224,159,451,586,2025
253,Rutgers,32,15,17,.469,10.41,10.94,8,12,11,5,3,8,2465,2482,1305,865,1939,.446,231,703,.329,504,702,.718,358,1129,413,225,125,349,547,2025
