,Rk,School,G,W_Tot,L_Tot,W-L%,Simple_Rating_System,Stregnth_Of_Schedule,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Tm_Pts,Opp_Pts,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Season
1220,30,Brigham Young,25,17,8,0.68,17.72,6.96,8,6,12,2,3,5,1994,1725,1015,713,1484,0.48,260,712,0.365,308,443,0.695,281,934,421,175,82,301,391,2025
1333,133,Kansas,25,17,8,0.68,21.77,12.37,8,6,12,2,3,6,1901,1666,1010,730,1537,0.475,176,513,0.343,265,369,0.718,257,970,447,155,122,281,357,2025
